Home,Away,Home_Score,Away_Score,Tournament
Shorter,Jacksonville State,48,111,
Texas-Rio Grande Valley,Kansas State,59,93,
Mississippi College,Louisiana Tech,61,78,
Western Michigan,Minnesota,60,61,
Alcorn State,Ole Miss,58,73,
Southern Utah,New Mexico,81,89,
New Mexico Highlands,New Mexico State,52,101,
UT Arlington,Oklahoma State,66,77,
Florida Gulf Coast,USC,74,61,
LeTourneau,Stephen F. Austin,40,93,
Fisk,Tennessee State,75,85,
Utah Valley,Utah State,58,75,
Delaware State,Virginia Tech,57,95,
Colorado Christian,Wyoming,69,102,
Bethesda University (CA),Cal Poly,59,94,
San Diego Christian,Cal State Bakersfield,35,68,
La Sierra,Cal State Northridge,55,90,
Long Beach State,California Baptist,79,64,
Chapman,UC-Irvine,50,96,
Seattle,UC-San Diego,85,71,
San Francisco State,UCSB,59,75,
Fresno Pacific,Fresno State,56,69,
Life Pacific,Loyola Marymount,49,99,
Utah Tech,Nevada,71,84,
Southern,UNLV,56,66,
Rice,Pepperdine,67,106,
Lewis & Clark,Portland,62,89,
Oral Roberts,Saint Mary's,70,78,
Sonoma State,San Diego,59,81,
Texas Southern,San Francisco,77,90,
Eastern Washington,Santa Clara,72,84,
UC-Davis,California,75,65,
Weber State,Washington,52,69,
Tulsa,Oregon State,70,73,
Rider,Providence,65,66,
Rochester,Detroit Mercy,65,93,
Montana,Duquesne,63,91,
Mercer,East Carolina,75,77,
Sacred Heart,Hartford,77,70,
South Carolina State,South Carolina,77,80,
Coppin State,Georgetown,89,99,
Georgia Southern,San Jose State,48,63,
Milwaukee,Purdue,53,84,
Champion Christian,Arkansas-Pine Bluff,55,87,
Mercy,FDU,66,106,
District of Columbia,Howard,74,87,
Hampton,James Madison,58,106,
American,Marist,69,73,
Cairn,Norfolk State,59,87,
North American,Prairie View,68,95,
Pittsburgh-Greensburg,Robert Morris,49,84,
Rockford,Western Illinois,56,113,
Piedmont,Winthrop,56,78,
Davidson,Wright State,102,97,
UT-Martin,Youngstown State,72,90,
IUPUI,Drake,48,80,
Kansas City,LSU,63,74,
Missouri S&T,Missouri State,47,82,
Monmouth,Seton Hall,52,79,
Mobile,South Alabama,59,97,
Lipscomb,South Dakota,77,85,
Western Colorado,Utah Valley,64,91,
