Home,Away,Home_Score,Away_Score,Tournament
Saint Mary's,Houston,48,53,
Florida State,Virginia,57,62,
Indiana,Rutgers,48,63,
South Dakota State,Alabama,65,78,
San Jose State,Arkansas,58,99,
Boston College,Duke,59,75,
Saint Francis (PA),Ohio State,59,96,
Longwood,Delaware State,75,49,
Chattanooga,Gardner-Webb,82,71,
Howard,Hampton,65,74,
Central Connecticut,Holy Cross,57,63,
Ohio,Marshall,69,83,
Indiana State,Miami (OH),88,61,
Robert Morris,Northern Kentucky,56,60,
Coastal Carolina,Winthrop,86,81,
Arkansas Baptist,Arkansas-Pine Bluff,41,59,
Tennessee State,Austin Peay,61,77,
UIC,Drake,64,77,
DePaul,Loyola (IL),78,72,
Bradley,Missouri State,58,40,
Omaha,North Texas,45,75,
Wiley,Tarleton State,55,98,
Oral Roberts,Tulsa,77,66,
South Dakota,BYU,69,68,
Southern Utah,Idaho State,69,59,
New Mexico,New Mexico State,,,
Grand Canyon,Wyoming,66,58,
North Dakota State,Eastern Washington,70,78,
Sacramento State,Santa Clara,65,72,
South Carolina,Georgetown,74,71,
Syracuse,Notre Dame,62,61,
Oklahoma,Villanova,66,70,
Wagner,Army,64,75,
College of Charleston,The Citadel,79,57,
Oakland,Purdue Fort Wayne,73,79,
FDU,St. Joseph's,97,80,
VCU,Temple,73,83,
Fordham,Tulane,95,90,
Navy,VMI,72,80,
Morgan State,Bowling Green State,76,86,
St. Bonaventure,Buffalo,66,83,
Tennessee Tech,Butler,66,80,
Cal State Bakersfield,Dartmouth,54,79,
Southeastern Louisiana,Dayton,74,80,
Davidson,Delaware,67,69,
Princeton,Drexel,83,63,
Ball State,Duquesne,77,78,
Toledo,George Mason,73,80,
North Florida,High Point,88,93,
UMBC,Lehigh,88,62,
Mississippi Valley State,Mississippi State,52,82,
North Alabama,Morehead State,81,75,
Bucknell,NJIT,79,63,
UT-Martin,UNC Asheville,83,90,
Evansville,Northern Iowa,55,72,
UMass-Lowell,Sacred Heart,70,59,
Richmond,William & Mary,57,58,
Arlington Baptist,Abilene Christian,42,88,
Detroit Mercy,Cleveland State,77,92,
Champion Christian,Louisiana-Monroe,46,101,
Maryville (TN),Middle Tennessee,46,69,
La Salle,Penn,84,81,
Paine,Queens (NC),60,89,
Dallas Christian,Sam Houston,58,111,
Troy,SIU-Edwardsville,72,78,
Texas-Rio Grande Valley,Western Illinois,72,90,
Stonehill,Binghamton,69,66,
Northern Colorado,Colorado State,88,83,
New Hampshire,Columbia,52,56,
Jacksonville State,ETSU,63,61,
UNC Greensboro,Elon,65,61,
South Carolina State,Furman,76,88,
Incarnate Word,Grambling,39,72,
Trinity Baptist,Jacksonville,39,74,
Wisconsin,Marquette,80,77,
Rider,Mount St. Mary's,68,65,
St. Andrews,North Carolina Central,40,127,
Air Force,Portland State,64,68,
Southern Illinois,Saint Louis,72,85,
Northern New Mexico,UTEP,50,87,
Long Beach State,Utah Valley,78,88,
Pacific,UCSB,71,82,
Coppin State,Loyola (MD),74,71,
Louisiana,New Orleans,78,77,
Providence,Rhode Island,88,74,
Wofford,Vanderbilt,62,65,
USC Upstate,Western Carolina,79,64,
Yale,Stony Brook,77,72,
West Virginia,Xavier,74,84,
Boise State,Texas A&M,86,71,
Alma,Central Michigan,50,89,
Blackburn,Eastern Illinois,43,93,
St. Peter's,Fairfield,55,67,
Ole Miss,Memphis,57,68,
Norfolk State,Old Dominion,62,68,
IUPUI,Milwaukee,61,74,
Lindenwood,Kansas City,47,61,
Northern Arizona,Pepperdine,69,88,
North Dakota,Portland,69,90,
Crown (MN),St. Thomas,56,91,
California Baptist,Cal Poly,53,64,
Fresno State,UC-Irvine,80,66,
Wichita State,Kansas State,50,55,
Jackson State,SMU,69,68,
Utah Tech,Weber State,77,65,
Nevada,Loyola Marymount,52,64,
UNLV,San Diego,95,78,
Kent State,Gonzaga,66,73,
Troy,San Diego State,55,60,
IUPUI,Green Bay,61,68,
Kennesaw State,Charleston Southern,76,65,
Our Lady of the Lake,Lamar,56,91,
UMass-Lowell,LIU,84,64,
Albany (NY),UMass,73,87,
Concordia (MI),Western Michigan,50,94,
Trevecca Nazarene,Lipscomb,49,87,
Simon Fraser University,New Mexico State,35,77,
North Dakota State,Portland,67,62,
North Florida,Houston,42,76,
Illinois,Texas,85,78,
James Madison,Virginia,50,55,
UNC Greensboro,Arkansas,58,65,
Tarleton State,Baylor,57,80,
Maryland,Wisconsin,59,64,
Iowa,Duke,62,74,
Jackson State,TCU,51,78,
Milwaukee,Chattanooga,76,88,
Vermont,Dartmouth,68,52,
Wagner,Fordham,59,72,
Middle Georgia State,Mercer,62,100,
Hartford,St. Francis (NY),50,68,
St. Joseph's,Temple,60,70,
South Carolina State,Winthrop,67,81,
Kentucky Christian,Austin Peay,57,102,
Green Bay,Loyola (IL),46,70,
Sam Houston,Oklahoma State,51,65,
Eastern Oregon,Boise State,54,90,
Texas A&M-Commerce,Wyoming,76,91,
South Dakota,Air Force,58,79,
Carlow,Appalachian State,43,103,
Wabash,Bellarmine,45,86,
St. John Fisher,Buffalo,53,91,
Yale,Butler,61,71,
Trevecca Nazarene,Belmont,53,83,
New Hampshire,Boston College,74,71,
UMBC,Columbia,73,66,
High Point,Furman,85,82,
Maryland-Eastern Shore,George Mason,54,67,
Georgia,Georgia Tech,77,79,
Saint Louis,Iona,62,84,
Bucknell,La Salle,72,82,
Virginia-Lynchburg,Liberty,49,101,
American,Mount St. Mary's,69,61,
Coppin State,NC State,72,94,
East Carolina,UNC Wilmington,61,74,
College of Charleston,Presbyterian,67,62,
Lafayette,Princeton,58,69,
Oakland,Syracuse,66,95,
Bryant,Tulane,,,
Coastal Carolina,Wofford,61,71,
Arkansas State,Central Arkansas,67,72,
Maine-Fort Kent,Houston Christian,33,100,
Abilene Christian,Kansas State,64,81,
North Carolina Central,Marquette,78,90,
Little Rock,Memphis,71,87,
Toledo,Northern Iowa,83,75,
Kansas City,Oklahoma,53,75,
Bradley,SIU-Edwardsville,56,54,
West Coast Baptist,Southern Utah,49,120,
North Texas,UT Arlington,60,57,
Trinity Christian,Valparaiso,60,96,
North Dakota,Idaho,66,76,
Montana Western,Idaho State,53,61,
South Dakota State,Montana,56,81,
Western New Mexico,New Mexico,63,102,
Northern Arizona,Pacific,73,69,
Nevada,Pepperdine,85,77,
Cal State Bakersfield,San Jose State,48,58,
Boyce,Tennessee State,49,103,
Hofstra,Purdue,66,85,
UConn,Florida,75,54,
Eastern Kentucky,Tennessee,49,84,
Nebraska,Indiana,65,81,
Iowa Wesleyan,Western Illinois,73,84,
Robert Morris,Central Michigan,71,66,
Loyola (MD),Hampton,61,66,
Quinnipiac,Holy Cross,75,71,
Rider,Stonehill,78,67,
Jacksonville,VCU,73,62,
Omaha,Drake,65,78,
Campbell,Evansville,66,72,
Eastern Michigan,Illinois State,81,87,
Indiana State,Southern Illinois,74,71,
New Mexico State,Santa Clara,65,66,
Warren Wilson,UNC Asheville,70,122,
Siena,Georgetown,68,75,
Penn St.-Wilkes Barre,Morgan State,48,95,
Michigan State,Penn State,67,58,
DePaul,St. John's (NY),67,86,
NJIT,Army,62,63,
Colgate,Binghamton,81,62,
Western Carolina,Davidson,64,72,
Delaware State,Delaware,69,77,
Sacred Heart,Fairfield,59,61,
Florida Gulf Coast,Florida Atlantic,53,85,
Piedmont,Georgia Southern,47,91,
Cornell,Miami (FL),105,107,
Alabama State,North Alabama,63,71,
Boston University,Notre Dame,75,81,
William & Mary,Old Dominion,62,72,
Brown,Rhode Island,59,58,
Cleveland State,St. Bonaventure,42,61,
Penn,Villanova,59,70,
Carlow,VMI,67,106,
Navy,West Virginia,64,85,
Ball State,Eastern Illinois,76,59,
Manhattan,Providence,59,99,
Lincoln (PA),Seton Hall,55,82,
Purdue Fort Wayne,Southeast Missouri State,89,68,
Belhaven (MS),Southeastern Louisiana,71,107,
Anderson (IN),Southern Indiana,47,78,
Texas Lutheran,Texas A&M-Corpus Christi,63,100,
Nicholls State,Texas Tech,71,78,
Detroit Mercy,Tulsa,76,72,
Dayton,Virginia Tech,49,77,
Utah Valley,BYU,75,60,
Towson,Clemson,75,80,
Loyola Marymount,Grand Canyon,69,65,
Arizona State,SMU,75,57,
Pitt,Vanderbilt,74,75,
Northern Kentucky,Washington State,47,68,
Eastern Washington,California,50,48,
Weber State,California Baptist,52,64,
Cal State Northridge,Fresno State,56,65,
Hawaii,UNLV,62,77,
Denver,Sacramento State,85,87,
Missouri State,Saint Mary's,46,66,
Merrimack,San Francisco,51,69,
Cal State Fullerton,USC,50,64,
Iowa State,Iowa,56,75,
Rutgers,Ohio State,66,67,
Jacksonville State,Utah,58,99,
Maine-Augusta,Maine,67,103,
Marshall,Duquesne,82,71,
UMass-Lowell,UMass,85,80,
Saint Vincent (PA),Saint Francis (PA),58,88,
Westminster (PA),Youngstown State,65,117,
Colorado State,Colorado,65,93,
Michigan,Minnesota,90,75,
St. Thomas,Montana State,65,82,
Washington,Gonzaga,60,77,
Binghamton,Fordham,62,77,
Lipscomb,Alabama A&M,59,63,
Stony Brook,Bryant,60,79,
Dartmouth,Central Connecticut,50,59,
FDU,Columbia,76,73,
Queens (NC),High Point,87,79,
New England,Merrimack,23,82,
Grambling,Vanderbilt,64,62,
McNeese State,Northern Iowa,52,49,
Arkansas State,Air Force,55,80,
Chapman,Utah Tech,58,99,
Alabama,Houston,71,65,
Arkansas-Pine Bluff,Texas,43,88,
Purdue,Nebraska,65,62,
LIU,UConn,61,114,
Kansas,Missouri,95,67,
Oklahoma,Arkansas,78,88,
Indiana,Arizona,75,89,
Memphis,Auburn,82,73,
Maryland-Eastern Shore,Duke,55,82,
Yale,Kentucky,59,69,
Penn State,Illinois,74,59,
Denver,UCLA,64,87,
Creighton,BYU,80,83,
Saint Mary's,San Diego State,68,61,
TCU,SMU,83,75,
Tulane,Buffalo,88,63,
Johnson University,Chattanooga,47,97,
Morgan State,UMBC,63,75,
St. Francis (NY),UMass-Lowell,59,68,
Marshall,Robert Morris,69,60,
UTEP,DePaul,70,91,
SIU-Edwardsville,Illinois State,71,77,
Eastern Washington,South Dakota State,76,77,
Alcorn State,Southern Illinois,68,74,
UT Arlington,Texas State,65,71,
North Texas,Grand Canyon,60,58,
Omaha,Montana State,54,82,
UTSA,New Mexico,76,94,
Louisiana Tech,Wyoming,65,92,
Southern Utah,Cal State Fullerton,67,60,
Vermont,Colgate,73,72,
Drexel,La Salle,65,58,
Louisville,Florida State,53,75,
Temple,Penn,57,77,
Lafayette,Quinnipiac,63,76,
St. Peter's,St. Joseph's,57,73,
Georgetown,Syracuse,64,83,
Radford,VMI,74,77,
Evansville,Ball State,69,88,
Detroit Mercy,Charlotte,80,82,
Regent,Coastal Carolina,39,102,
UNC Asheville,Dayton,56,79,
Georgian Court,Delaware State,75,69,
Wake Forest,LSU,70,72,
NC State,Miami (FL),73,80,
Bethune-Cookman,North Florida,48,88,
Holy Cross,Northeastern,58,59,
Albany (NY),Providence,55,93,
Army,Rhode Island,67,77,
Drake,Richmond,52,82,
UC-Irvine,South Dakota,83,71,
Webber,Stetson,59,83,
Canisius,Toledo,68,69,
Wright State,Western Kentucky,60,64,
UIC,Western Michigan,62,56,
Texas A&M-Commerce,Abilene Christian,64,83,
Xavier,Cincinnati,80,77,
Kent State,Cleveland State,67,58,
Western Illinois,Eastern Illinois,79,75,
Wofford,Georgia Southern,57,79,
Valparaiso,Ole Miss,61,98,
Georgia Tech,UNC,59,75,
Sacred Heart,Pitt,66,91,
South Carolina State,USC Upstate,84,89,
Lamar,Southern Miss,59,95,
Central Michigan,Tulsa,63,70,
Murray State,Bellarmine,58,69,
Winthrop,Furman,67,82,
American,George Washington,69,64,
Brown,Michigan State,50,68,
Washington State,UNLV,70,74,
Jacksonville,UNC Wilmington,53,81,
Seattle,North Dakota,80,78,
Utah Valley,Northern Arizona,80,75,
Louisiana-Monroe,Northwestern State,73,91,
Brevard,Western Carolina,55,99,
Longwood,Wichita State,63,81,
Norfolk State,William & Mary,67,53,
Middle Tennessee,Belmont,85,75,
Boston College,Villanova,56,77,
Butler,California,82,58,
San Jose State,Santa Clara,75,64,
Louisiana State-Alexandria,Southern,76,98,
Tennessee Tech,Troy,64,87,
Long Beach State,Sacramento State,74,76,
New Hampshire,St. John's (NY),51,64,
UAB,West Virginia,70,81,
Loyola (IL),Clemson,76,58,
Boyce,Eastern Kentucky,79,140,
Mercer,Florida Gulf Coast,62,67,
Gallaudet,James Madison,43,106,
Boston University,Marist,72,70,
Loyola (MD),Mount St. Mary's,34,51,
Nevada,Oregon,65,78,
Monmouth,Princeton,54,91,
Kansas City,Green Bay,64,70,
Texas-Rio Grande Valley,Houston Christian,95,82,
St. Thomas,Idaho State,76,70,
Samford,Louisiana,58,75,
Purdue Fort Wayne,Missouri State,65,61,
Montana,North Dakota State,82,75,
Gardner-Webb,Old Dominion,43,44,
Central Arkansas,Oral Roberts,78,111,
UCSB,Pepperdine,67,64,
New Orleans,Portland,61,100,
Boise State,Saint Louis,57,52,
Saint Martin's,Weber State,58,82,
Portland State,Cal Poly,49,72,
Northern Colorado,Cal State Northridge,70,63,
California Baptist,San Diego,76,73,
Fresno State,Pacific,72,76,
Tennessee,Maryland,56,53,
McNeese State,Iowa State,40,77,
Mississippi State,Minnesota,69,51,
Loyola Marymount,Utah State,67,79,
Jackson State,Akron,72,85,
Tarleton State,UCF,49,75,
Central Connecticut,Fordham,77,90,
Bowling Green State,Hampton,86,72,
Bryant,Manhattan,104,97,
Calumet College,Miami (OH),49,85,
Howard,VCU,60,70,
North American,Texas Southern,47,95,
St. Bonaventure,Iona,57,72,
Maine,Merrimack,50,47,
Eastern Michigan,Niagara,60,67,
North Greenville,College of Charleston,67,96,
Siena,Delaware,64,75,
Coppin State,East Carolina,75,84,
Johnson & Wales (NC),Elon,69,101,
NJIT,FDU,71,73,
ETSU,Morehead State,57,61,
Prairie View,Northwestern,51,61,
Oklahoma State,Virginia Tech,65,70,
Paul Quinn,Stephen F. Austin,40,103,
Ohio,Youngstown State,81,79,
Incarnate Word,Kansas State,50,98,
North Park,Milwaukee,63,92,
Rust,Nicholls State,65,85,
Chicago State,UT-Martin,74,75,
Lipscomb,Tennessee State,85,90,
Peru State,Colorado State,72,115,
New Mexico State,Duquesne,73,60,
Marquette,Notre Dame,79,64,
Indiana State,Southern Indiana,85,88,
Navy,Towson,71,69,
UC-Riverside,Idaho,76,74,
Wisconsin,Iowa,78,75,
Waldorf,North Dakota State,54,99,
Seton Hall,Rutgers,45,43,
Presbyterian,South Carolina,57,68,
UMass,Hofstra,71,56,
Oregon State,Texas A&M,54,72,
Saint Francis (PA),Hawaii,66,90,
Cal State East Bay,Pacific,79,73,
Rice,Texas,81,87,
Northern Illinois,Gonzaga,67,88,
UC-San Diego,San Diego,58,84,
South Alabama,Alabama A&M,78,71,
Lindsey Wilson,Austin Peay,61,86,
Kennesaw State,San Diego State,54,88,
Spalding,IUPUI,53,75,
Sacred Heart,Stony Brook,64,71,
Philander Smith,Little Rock,54,83,
Yale,Fairfield,77,64,
Columbia,Lafayette,57,45,
Saint Joseph's (ME),New Hampshire,61,104,
Monmouth,Syracuse,71,86,
Louisiana Christian,Louisiana,63,98,
South Florida,Northern Iowa,72,69,
Liberty,Oral Roberts,70,84,
Arizona State,Creighton,73,71,
North Central (MN),North Dakota,48,99,
Mount Marty,South Dakota State,56,85,
San Diego Christian,UCSB,68,81,
San Francisco,New Mexico,64,67,
Memphis,Alabama,88,91,
North Carolina A&T,Houston,46,74,
Texas A&M-Corpus Christi,Arizona,61,99,
Edward Waters,Florida A&M,47,58,
Florida International,Howard,59,71,
UNC Asheville,South Carolina State,94,84,
Longwood,St. Francis (NY),63,57,
Lincoln (MO),Southern Illinois,51,88,
Bethel (TN),UT-Martin,75,103,
New Orleans,Boise State,50,91,
UTSA,Utah,70,91,
Midland Lutheran,Omaha,72,104,
VMI,American,61,69,
Coppin State,George Washington,71,83,
Furman,NC State,73,92,
Stonehill,Boston College,56,63,
Dartmouth,Boston University,59,67,
St. Peter's,Hartford,58,57,
Princeton,Iona,64,70,
North Carolina Central,LSU,57,67,
UMBC,Loyola (MD),72,69,
The Citadel,UNC,67,100,
Marshall,UNC Greensboro,67,75,
UMass-Lowell,Rhode Island,75,77,
FDU,Richmond,48,77,
Southern,Xavier,59,79,
USC Upstate,Florida State,63,80,
Prairie View,UIC,61,70,
Southern Miss,Lamar,91,65,
Chicago State,Murray State,65,66,
Green Bay,St. Thomas,61,82,
Mary Hardin-Baylor,Texas State,71,65,
Eastern Washington,Texas Tech,70,77,
SAGU Amer. Indian Coll.,Utah Valley,54,100,
Mississippi Valley State,Wichita State,48,71,
Holy Names,UC-Davis,55,107,
Portland State,Santa Clara,75,78,
Cal Poly,Washington,68,74,
Cal State Stanislaus,Pacific,56,80,
UCLA,Maryland,87,60,
Mississippi State,Jackson State,69,59,
Georgia State,Auburn,64,72,
Wright State,Akron,54,66,
LIU,Albany (NY),59,76,
Ohio,Florida,48,82,
Carolina,Gardner-Webb,44,120,
Eastern Kentucky,Northern Kentucky,61,64,
South Carolina,UAB,70,84,
Charleston Southern,Tennessee State,91,87,
UC-San Diego,Nevada,56,64,
William Peace,Campbell,58,97,
UC-Riverside,Oregon,65,71,
Miami (OH),Cincinnati,76,103,
Stetson,College of Charleston,60,65,
DePaul,Duquesne,55,66,
Queens (NC),ETSU,78,75,
St. Thomas (FL),Florida Atlantic,74,97,
Morehead State,Georgia Southern,74,71,
Reinhardt,Jacksonville State,63,97,
Sam Houston,Louisiana-Monroe,79,53,
Stephen F. Austin,Louisiana Tech,80,79,
UCF,Ole Miss,72,61,
Bowling Green State,Norfolk State,75,81,
Drexel,Seton Hall,49,66,
Radford,VCU,62,70,
Appalachian State,Wake Forest,66,67,
Southeast Missouri State,Arkansas State,61,68,
Tennessee Tech,Lipscomb,63,64,
Arkansas-Pine Bluff,Minnesota,56,72,
Bellevue,South Dakota State,,,
Colorado Christian,Denver,74,85,
Western Kentucky,Louisville,83,94,
Coastal Carolina,South Dakota,87,86,
New Mexico State,Saint Mary's,68,81,
Long Beach State,USC,78,88,
Lehigh,Wisconsin,56,78,
Chattanooga,Middle Tennessee,82,73,
North American,Rice,54,92,
Westminster (UT),Utah State,68,106,
Seattle,Oregon State,58,73,
Elon,Presbyterian,63,69,
Stony Brook,Wagner,55,58,
Rust,Alabama A&M,75,97,
North Alabama,Colorado,60,84,
Louisiana,McNeese State,78,70,
Southeastern Louisiana,Nicholls State,73,88,
Saint Mary-of-the-Woods College,Southern Indiana,42,84,
Southwestern Christian,Texas-Rio Grande Valley,80,106,
Western Oregon,BYU,64,97,
UC-Irvine,Santa Clara,74,86,
Central Connecticut,Manhattan,78,67,
Delaware,Princeton,76,69,
Bethune-Cookman,Incarnate Word,65,77,
Chicago State,Southern Illinois,52,63,
Schreiner,Texas A&M-Corpus Christi,69,104,
Xavier,Georgetown,102,89,
Dartmouth,South Florida,55,59,
Florida Gulf Coast,St. Bonaventure,71,58,
Creighton,Marquette,58,69,
Austin Peay,Murray State,60,68,
Missouri State,Oral Roberts,77,80,
Green Bay,Stanford,40,85,
Mississippi Valley State,Tulsa,51,66,
Antelope Valley,Utah Valley,54,80,
Eureka,Western Illinois,50,79,
Southern,Youngstown State,81,85,
Northwest Indian College,Idaho,51,125,
Weber State,Cal Poly,74,45,
Davidson,Purdue,61,69,
Houston,Virginia,69,61,
UConn,Butler,68,46,
Gonzaga,Alabama,100,90,
Tennessee,Arizona,70,75,
Indiana,Kansas,62,84,
Bradley,Arkansas,57,76,
UCLA,Kentucky,63,53,
Nicholls State,Mississippi State,66,68,
Alabama A&M,Illinois,47,68,
Ohio State,UNC,84,89,
Grambling,Virginia Tech,48,74,
Saint Francis (PA),Miami (FL),76,91,
Illinois State,Ball State,69,83,
St. John's (NY),Florida State,93,79,
North Carolina Central,Gardner-Webb,70,72,
Charleston Southern,Jacksonville,63,72,
Toledo,Marshall,85,100,
Morehead State,Mercer,52,79,
Missouri,UCF,68,66,
Stetson,Ohio,66,85,
Samford,South Carolina State,61,62,
Northern Illinois,VCU,63,90,
Ecclesia,Arkansas-Pine Bluff,50,104,
Jackson State,Texas Tech,52,102,
Little Rock,Jacksonville State,62,72,
Oklahoma State,Wichita State,59,49,
Montana,Prairie View,81,76,
Northern Arizona,Southern Utah,101,106,
UC-Davis,Eastern Washington,68,79,
Liberty,Bryant,82,62,
Eastern Illinois,IUPUI,70,59,
Providence,Seton Hall,71,67,
Longwood,The Citadel,75,70,
Central Arkansas,Oklahoma,66,87,
North Florida,Pitt,56,82,
Cornell,Syracuse,63,78,
Towson,Northern Iowa,66,83,
SUNY-Oneonta,Binghamton,58,86,
UT-Martin,Bowling Green State,75,67,
Indiana State,Duquesne,86,92,
East Carolina,South Carolina,64,56,
Radford,Eastern Kentucky,65,67,
Florida International,Florida Atlantic,53,79,
Alabama State,Georgia Tech,60,96,
Georgia College,Kennesaw State,55,79,
Knox,Lindenwood,42,77,
Florida A&M,Louisville,55,61,
Charlotte,Monmouth,80,46,
DePaul,Northwestern,45,83,
Troy,Southeastern Louisiana,77,71,
Montreat,Wofford,65,107,
Tulane,George Mason,56,62,
Campbell,Georgia Southern,53,54,
Lamar,Louisiana-Monroe,59,83,
North Texas,UMass,62,44,
Northwestern State,Rice,73,110,
Bryan,Tennessee State,78,99,
Sam Houston,Texas State,69,62,
Northwestern Ohio,Wright State,59,111,
Regent,Appalachian State,32,100,
Miami (OH),Bellarmine,71,67,
La Salle,Cincinnati,60,78,
UNC Asheville,ETSU,74,73,
Stephen F. Austin,Furman,70,72,
Hampton,Norfolk State,66,78,
St. Francis (NY),Hartford,67,51,
Clarks Summit,Maryland-Eastern Shore,55,95,
Lipscomb,Michigan,75,83,
Villanova,St. Joseph's,71,64,
Western Carolina,Tennessee Tech,75,65,
Occidental,UC-San Diego,55,91,
Temple,Ole Miss,55,63,
San Francisco,UNLV,75,73,
Utah,BYU,66,75,
Northwest Indian College,Montana State,59,144,
Portland,Oregon,56,78,
Richmond,Clemson,57,85,
Delaware State,Drexel,52,85,
Sacramento State,Fresno State,59,53,
Nebraska,Kansas State,56,71,
St. Elizabeth,Lehigh,36,94,
Winthrop,LSU,81,89,
Texas A&M,Memphis,79,83,
Texas Southern,North Carolina A&T,66,67,
Wyoming,Dayton,49,66,
Pepperdine,Grand Canyon,73,83,
Southeast Missouri State,Iowa,75,106,
Drake,Saint Louis,75,83,
Louisiana Tech,UTEP,55,60,
Master's,Utah Tech,58,100,
Abilene Christian,Cal State Bakersfield,65,59,
NC State,Vanderbilt,70,66,
UCSB,Portland State,85,73,
Idaho State,Washington,55,90,
Wake Forest,Rutgers,57,81,
San Jose State,Pacific,58,59,
Stanford,Texas,62,72,
Washington State,Baylor,59,65,
Auburn,USC,71,74,
Mississippi Valley State,TCU,43,88,
Belmont,Chattanooga,83,79,
LIU,James Madison,79,115,
Miami-Hamilton,Northern Kentucky,41,81,
Southern,UAB,66,92,
Albany (NY),Loyola (IL),56,68,
Oakland,Boise State,57,77,
Northern New Mexico,New Mexico State,53,95,
Howard,Harvard,66,54,
Washington College,Navy,54,93,
Canisius,Penn State,67,97,
Detroit Mercy,Eastern Michigan,77,79,
Western Michigan,Iowa State,57,73,
William & Mary,UMBC,62,78,
Army,Stony Brook,59,66,
Merrimack,Bucknell,55,61,
Coast Guard,Fairfield,45,86,
Rhode Island,Georgia State,66,75,
Northeastern,UIC,73,81,
Robert Morris,Mount St. Mary's,68,59,
Niagara,NJIT,53,62,
Norfolk State,North Carolina A&T,70,66,
High Point,UNC Wilmington,82,85,
Quinnipiac,St. Peter's,56,63,
Elon,Valparaiso,66,71,
Tarleton State,Air Force,67,81,
Texas Southern,Hampton,82,77,
Warren Wilson,UNC Greensboro,48,120,
Green Bay,Oregon State,56,65,
McNeese State,Southern Miss,67,86,
Illinois Tech,SIU-Edwardsville,78,93,
Bethune-Cookman,UTSA,69,90,
Northern Colorado,Colorado,77,88,
Notre Dame,Georgia,62,77,
Concord,Kent State,56,106,
Cleveland State,Loyola Marymount,59,70,
California,Santa Clara,62,71,
Buffalo,West Virginia,78,96,
Iona,New Mexico,74,82,
Alcorn State,Seattle,58,72,
San Diego,Arizona State,67,91,
Houston Christian,Texas-Rio Grande Valley,90,100,
Central Michigan,Missouri State,58,79,
Colorado State,Saint Mary's,62,60,
Sonoma State,California Baptist,67,88,
Cal State Los Angeles,Pepperdine,69,92,
Maine,Akron,55,87,
Glenville State,Marshall,73,99,
Holy Cross,New Hampshire,60,78,
Chicago State,Illinois State,52,66,
Jarvis Christian,Rice,64,109,
Alabama A&M,Southern Illinois,,,
Weber State,Utah State,75,72,
Bob Jones University,Gardner-Webb,55,116,
Fairmont State,Bowling Green State,74,93,
Southern Indiana,IUPUI,87,74,
College of Charleston,Coastal Carolina,83,69,
Anderson (SC),Furman,79,106,
Texas A&M-Commerce,Purdue Fort Wayne,68,85,
Grambling,Liberty,56,75,
Manhattan,Marist,80,69,
Davis & Elkins,North Florida,66,105,
Allen,Presbyterian,70,90,
Delaware,Rider,60,59,
Sacred Heart,St. Joseph's,59,77,
St. Bonaventure,Siena,70,76,
Hofstra,South Florida,70,77,
North American,Stephen F. Austin,51,83,
Crowley's Ridge,UT-Martin,59,120,
North Dakota State,Western Illinois,60,79,
Alabama State,Arkansas State,65,72,
Stonehill,Bradley,50,79,
South Dakota,Kansas City,45,62,
Denver,Omaha,66,83,
Dillard,New Orleans,71,79,
Trinity Baptist,Nicholls State,46,90,
South Dakota State,Oral Roberts,40,79,
Spring Hill,South Alabama,53,82,
North Dakota,St. Thomas,62,75,
Westmont,Utah Tech,53,80,
San Diego Christian,Cal State Fullerton,35,87,
Idaho,Cal State Northridge,76,73,
Life Pacific,Long Beach State,52,97,
UT Arlington,San Francisco,68,63,
Georgetown,UConn,73,84,
Montana State,Arizona,64,85,
Virginia,Miami (FL),64,66,
Jackson State,Alabama,64,84,
Montana,Gonzaga,75,85,
Northwestern State,Baylor,48,58,
Duke,Wake Forest,70,81,
Mississippi State,Drake,52,58,
Elon,Indiana,72,96,
Marquette,Providence,98,103,
Lehigh,Cornell,64,96,
Wagner,Delaware State,58,51,
South Carolina State,Longwood,77,104,
Maryland-Eastern Shore,Temple,86,78,
Albany (NY),Northern Illinois,83,78,
Wofford,Texas A&M,67,62,
Northwest Indian College,Eastern Washington,54,130,
Jacksonville,Louisiana-Monroe,66,55,
Toledo,Vermont,84,72,
Toccoa Falls,Western Carolina,50,117,
North Alabama,Ole Miss,66,65,
Texas A&M-Corpus Christi,Oklahoma State,58,81,
Texas A&M-Commerce,IUPUI,52,62,
Arlington Baptist,Sam Houston,26,107,
Lipscomb,Louisville,75,67,
Utah Valley,Oregon,77,72,
Central Arkansas,Little Rock,66,75,
Army,Central Connecticut,66,55,
Southern Indiana,Purdue Fort Wayne,59,83,
USC Upstate,Kennesaw State,56,65,
Dartmouth,UMass,57,68,
Queens (NC),Nebraska,65,75,
The Citadel,North Carolina Central,74,81,
Kentucky Christian,Tennessee Tech,72,104,
Idaho State,Grand Canyon,66,68,
Pacific,Lamar,74,65,
Air Force,Northern Colorado,67,65,
Seton Hall,Xavier,70,73,
Lindenwood,BYU,61,90,
Oklahoma,Florida,62,53,
Prairie View,New Mexico,63,94,
UIC,Northwestern,54,92,
Pitt,Syracuse,84,82,
Fresno State,Cal State Bakersfield,56,48,
Harvard,UC-Irvine,62,57,
San Diego,UC-Riverside,92,84,
UC-San Diego,San Diego State,46,62,
Cal Poly,San Jose State,43,65,
Alcorn State,Dayton,46,88,
Brescia,Tennessee State,83,98,
New Orleans,Purdue,53,74,
McNeese State,Houston,44,83,
Louisiana,Texas,72,100,
Austin Peay,Tennessee,44,86,
