School,G,SRS,SOS,Tm.,Opp.,MP,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
UC Davis,32,-0.31,-1.74,2392,2274,1295,830,1862,.446,205,559,.367,409,582,.703,309,1050,369,216,105,473,675,809,1820,.445,214,630,.340,560,790,.709,377,1186,389,227,90,471,600
UC Irvine,35,4.16,-0.60,2617,2352,1405,797,2010,.397,231,716,.323,527,722,.730,335,1185,404,206,113,445,577,969,2082,.465,247,656,.377,432,600,.720,341,1296,518,245,87,431,666
UC Riverside,34,0.72,-0.34,2463,2352,1380,841,1848,.455,180,537,.335,490,681,.720,250,1078,386,202,103,406,567,906,2047,.443,284,784,.362,367,526,.698,390,1251,450,175,61,417,629
UC San Diego,30,-6.94,-0.76,2057,2189,1230,801,1788,.448,233,640,.364,354,487,.727,301,1104,447,180,95,344,481,740,1720,.430,228,695,.328,349,472,.739,249,1004,359,174,67,362,482
UC Santa Barbara,35,3.30,-2.03,2510,2305,1405,845,1902,.444,206,599,.344,409,546,.749,290,1057,408,173,79,430,619,924,1875,.493,194,555,.350,468,644,.727,279,1113,495,222,87,397,562
UCF,34,11.09,5.09,2432,2228,1395,779,1855,.420,221,720,.307,449,620,.724,353,1130,416,229,97,504,554,848,1980,.428,295,835,.353,441,572,.771,393,1190,469,261,129,452,566
UCLA,37,22.11,8.66,2743,2245,1480,812,1992,.408,240,772,.311,381,547,.697,350,1198,415,171,99,580,608,1033,2245,.460,227,651,.349,450,616,.731,418,1307,538,310,142,371,573
UNC Asheville,35,-1.74,-4.35,2604,2418,1420,901,2125,.424,217,731,.297,399,555,.719,369,1196,418,247,126,446,701,897,1890,.475,274,707,.388,536,772,.694,295,1219,446,221,140,496,542
UNC Greensboro,32,1.66,-2.91,2306,2064,1291,728,1799,.405,236,740,.319,372,547,.680,304,1065,343,186,74,425,560,816,1831,.446,254,718,.354,420,587,.716,330,1180,465,228,83,376,535
UNC Wilmington,34,-1.17,-3.05,2343,2187,1375,766,1783,.430,199,654,.304,456,650,.702,314,1107,305,193,95,473,667,813,1832,.444,209,624,.335,508,697,.729,324,1130,365,230,95,408,624
UT Arlington,32,-4.98,2.12,2125,2190,1285,751,1718,.437,238,653,.364,450,639,.704,305,1079,406,193,102,456,587,772,1863,.414,207,643,.322,374,570,.656,407,1148,432,204,96,443,619
Utah,32,11.34,6.53,2197,2043,1285,764,1924,.397,204,676,.302,311,470,.662,337,1121,409,198,121,325,515,791,1852,.427,232,698,.332,383,541,.708,357,1254,462,161,126,384,487
Utah State,35,14.23,6.81,2736,2446,1405,870,2055,.423,241,694,.347,465,624,.745,303,1103,413,197,88,388,658,947,1975,.479,325,840,.387,517,678,.763,300,1243,585,175,117,426,589
Utah Tech,33,-0.16,1.01,2495,2420,1330,854,1851,.461,241,691,.349,471,642,.734,287,1060,453,232,103,490,705,828,1802,.459,285,749,.381,554,787,.704,321,1125,434,219,74,497,647
Utah Valley,37,8.48,1.83,2863,2538,1500,928,2380,.390,235,766,.307,447,669,.668,447,1354,418,249,111,458,706,1022,2200,.465,242,728,.332,577,780,.740,377,1492,594,239,242,509,646
UTEP,32,-0.74,1.82,2192,2192,1315,767,1718,.446,214,643,.333,444,620,.716,301,1050,340,252,111,536,625,796,1776,.448,158,537,.294,442,699,.632,373,1122,385,288,85,505,576
UTSA,32,-7.74,1.16,2217,2450,1291,883,1961,.450,254,734,.346,430,608,.707,358,1181,449,221,154,354,594,749,1826,.410,235,703,.334,484,659,.734,341,1132,334,137,81,439,563
Valparaiso,32,-8.72,-2.75,2206,2355,1310,843,1882,.448,239,704,.339,430,586,.734,273,1116,444,224,82,355,480,814,1852,.440,198,668,.296,380,522,.728,251,1087,436,187,83,406,530
Vanderbilt,37,8.98,8.55,2661,2645,1490,954,2219,.430,248,799,.310,489,693,.706,432,1368,470,210,98,381,646,930,2187,.425,310,922,.336,491,690,.712,417,1340,429,187,168,399,604
Vermont,34,1.63,-3.13,2471,2276,1377,835,1866,.447,246,687,.358,360,497,.724,241,1103,380,171,90,389,527,901,1901,.474,292,816,.358,377,541,.697,220,1065,465,200,98,318,504
Villanova,34,10.61,8.69,2366,2301,1365,817,1871,.437,264,780,.338,403,519,.776,280,1122,491,189,104,384,524,807,1853,.436,296,885,.334,456,556,.820,246,1078,377,194,58,343,538
Virginia,33,13.28,5.98,2237,1996,1325,712,1717,.415,234,687,.341,338,452,.748,262,1055,377,159,123,403,536,793,1765,.449,220,629,.350,431,613,.703,273,1064,519,225,142,282,471
Virginia Commonwealth,35,9.89,1.95,2480,2202,1400,789,1903,.415,207,649,.319,417,592,.704,358,1157,405,229,124,572,689,864,1867,.463,212,610,.348,540,776,.696,324,1161,456,311,160,468,575
VMI,32,-16.14,-3.45,2220,2457,1290,879,1883,.467,343,935,.367,356,506,.704,285,1084,529,200,132,339,450,800,1923,.416,309,880,.351,311,406,.766,349,1131,365,172,37,411,484
Virginia Tech,34,9.36,5.30,2521,2383,1365,892,2000,.446,242,712,.340,357,503,.710,323,1148,424,191,119,371,530,931,1983,.469,281,786,.358,378,514,.735,288,1131,528,177,107,336,526
Wagner,28,-11.81,-10.85,1766,1727,1130,568,1324,.429,151,479,.315,440,616,.714,202,865,305,166,106,377,404,655,1627,.403,181,583,.310,275,403,.682,360,1005,339,189,49,335,540
Wake Forest,33,8.25,5.43,2528,2435,1330,892,1990,.448,269,769,.350,382,531,.719,310,1142,413,230,124,403,591,878,1909,.460,315,866,.364,457,613,.746,275,1129,444,199,90,399,528
Washington,32,6.78,7.94,2213,2250,1300,834,2005,.416,220,741,.297,360,509,.707,422,1218,501,223,114,413,557,786,1823,.431,209,668,.313,432,577,.749,286,1083,368,220,165,448,529
Washington State,34,10.53,7.91,2324,2235,1365,836,1875,.446,194,603,.322,369,533,.692,288,1089,403,199,93,366,569,813,1919,.424,310,832,.373,388,542,.716,369,1183,403,166,93,408,544
Weber State,33,-2.94,-1.33,2219,2229,1345,789,1762,.448,271,730,.371,380,544,.699,238,1045,460,185,99,429,583,779,1727,.451,218,647,.337,443,578,.766,218,1032,351,200,47,422,580
West Virginia,34,15.95,10.89,2583,2411,1365,834,1857,.449,222,652,.340,521,718,.726,319,1062,420,227,82,496,728,882,1953,.452,248,708,.350,571,769,.743,383,1152,442,227,104,440,632
Western Carolina,34,-6.34,-4.08,2513,2405,1385,871,1987,.438,197,605,.326,466,648,.719,296,1189,376,193,119,368,579,871,2015,.432,289,849,.340,482,674,.715,335,1256,428,183,88,365,588
Western Illinois,30,-7.59,-4.73,2191,2171,1205,822,1782,.461,192,590,.325,335,468,.716,272,1039,318,151,86,353,543,795,1755,.453,209,652,.321,392,560,.700,284,1034,410,174,107,322,434
Western Kentucky,33,-0.81,1.09,2355,2330,1330,842,2006,.420,303,850,.356,343,491,.699,379,1232,433,200,76,415,553,839,1907,.440,249,695,.358,428,601,.712,300,1152,416,204,173,383,489
Western Michigan,31,-10.55,-2.34,2166,2295,1240,820,1774,.462,257,712,.361,398,557,.715,273,1000,445,195,89,305,497,786,1820,.432,250,757,.330,344,482,.714,379,1146,396,143,68,395,522
Wichita State,32,5.78,3.25,2272,2191,1300,784,1931,.406,265,788,.336,358,501,.715,334,1094,446,222,107,373,493,827,1839,.450,212,685,.309,406,567,.716,312,1163,426,203,129,401,478
William & Mary,33,-10.99,-4.18,2219,2320,1325,864,1861,.464,237,680,.349,355,506,.702,310,1111,422,204,163,373,523,791,1829,.432,256,698,.367,381,559,.682,330,1095,401,199,67,398,533
Winthrop,32,-6.63,-3.59,2360,2382,1285,888,1890,.470,253,721,.351,353,553,.638,367,1089,450,240,123,388,651,787,1671,.471,283,757,.374,503,681,.739,260,993,366,164,98,447,538
Wisconsin,35,10.98,9.29,2284,2225,1430,831,1871,.444,217,686,.316,346,515,.672,276,1228,358,158,125,413,569,831,2005,.414,276,807,.342,346,501,.691,278,1110,406,207,52,302,554
Wofford,33,-5.02,-3.32,2466,2392,1340,878,1908,.460,278,801,.347,358,489,.732,287,1023,401,189,101,369,533,906,1916,.473,247,748,.330,407,552,.737,312,1088,412,188,68,361,468
Wright State,33,-2.34,-5.89,2637,2432,1350,897,2062,.435,262,798,.328,376,555,.677,330,1138,373,262,91,434,519,1031,2077,.496,205,574,.357,370,502,.737,304,1212,495,207,99,419,514
Wyoming,31,2.02,6.12,2144,2234,1245,796,1733,.459,248,684,.363,394,500,.788,251,1024,389,190,96,346,537,740,1680,.440,268,768,.349,396,557,.711,246,994,345,151,79,371,488
Xavier,37,16.03,9.16,2995,2741,1485,1012,2285,.443,274,765,.358,443,618,.717,339,1195,542,258,143,434,654,1109,2256,.492,274,703,.390,503,708,.710,380,1396,705,236,120,459,593
Yale,30,7.81,-1.62,2273,1897,1210,653,1650,.396,216,673,.321,375,540,.694,251,957,329,174,84,378,508,841,1764,.477,224,620,.361,367,529,.694,298,1133,439,191,123,335,521
Youngstown State,34,1.67,-5.83,2785,2465,1385,929,2065,.450,238,698,.341,369,525,.703,347,1127,456,176,83,438,553,1017,2088,.487,271,743,.365,480,616,.779,351,1204,521,238,94,376,550
