School,G,SRS,SOS,Tm.,Opp.,MP,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
Hawaii,33,2.36,-2.17,2208,2039,1335,760,1877,.405,145,493,.294,374,504,.742,301,1064,254,198,103,355,601,772,1799,.429,220,667,.330,444,594,.747,320,1165,367,151,125,401,528
High Point,31,-9.88,-5.23,2312,2392,1241,856,1942,.441,242,749,.323,438,654,.670,384,1174,451,218,105,383,605,813,1834,.443,234,720,.325,452,722,.626,362,1179,383,203,152,438,573
Hofstra,35,4.96,-2.30,2619,2324,1415,862,2115,.408,236,769,.307,364,524,.695,412,1278,436,202,106,442,531,1001,2084,.480,303,826,.367,314,425,.739,271,1181,504,218,148,376,503
Holy Cross,32,-14.27,-6.40,2136,2324,1285,876,1926,.455,219,672,.326,353,527,.670,345,1234,436,225,106,393,459,812,1862,.436,219,599,.366,293,471,.622,255,1040,398,203,89,387,514
Houston,37,22.20,4.79,2770,2126,1480,708,1933,.366,234,840,.279,476,691,.689,370,1173,376,199,91,506,599,1010,2203,.458,284,835,.340,466,636,.733,474,1441,544,293,182,370,618
Houston Christian,32,-17.18,-6.94,2482,2658,1285,984,1978,.497,242,660,.367,448,630,.711,328,1118,508,252,97,405,627,851,1863,.457,265,726,.365,515,717,.718,330,1097,474,184,88,489,575
Howard,35,-5.04,-5.14,2634,2542,1405,902,2027,.445,253,743,.341,485,706,.687,383,1168,428,308,110,540,615,934,2038,.458,282,754,.374,484,679,.713,407,1252,523,252,109,573,614
Idaho,32,-8.70,-3.86,2335,2332,1296,848,1805,.470,222,586,.379,414,565,.733,277,1063,365,186,95,368,603,824,1747,.472,217,638,.340,470,617,.762,222,979,381,164,57,362,539
Idaho State,32,-6.56,-2.96,2213,2272,1310,796,1764,.451,193,599,.322,487,620,.785,282,1079,378,178,70,387,577,794,1785,.445,245,725,.338,380,517,.735,259,1005,392,185,90,370,564
Illinois,33,14.81,7.65,2452,2216,1335,804,1934,.416,197,589,.334,411,583,.705,322,1115,353,228,93,429,604,874,1946,.449,251,815,.308,453,667,.679,366,1248,409,229,186,426,559
Illinois State,32,-7.38,-3.38,2127,2255,1300,805,1770,.455,225,667,.337,420,601,.699,278,992,395,214,99,357,552,737,1699,.434,232,690,.336,421,531,.793,280,1045,345,183,105,466,590
Illinois-Chicago,32,-8.83,-3.12,2149,2292,1290,823,1841,.447,215,633,.340,431,599,.720,328,1224,453,194,119,443,562,747,1794,.416,255,774,.329,400,611,.655,269,1037,421,206,150,410,560
Incarnate Word,31,-15.06,-8.28,2194,2290,1255,832,1759,.473,214,600,.357,412,575,.717,319,1088,406,222,89,455,525,776,1756,.442,194,557,.348,448,600,.747,284,976,382,259,88,425,532
Indiana,35,14.94,8.88,2616,2404,1405,852,2084,.409,263,787,.334,437,621,.704,379,1199,408,229,111,391,561,994,2044,.486,200,544,.368,428,602,.711,321,1250,533,203,177,402,599
Indiana State,36,4.86,-4.02,2855,2507,1450,902,2117,.426,241,752,.320,462,631,.732,288,1174,360,215,121,450,581,1008,2088,.483,340,959,.355,499,647,.771,249,1245,570,235,69,434,587
Iona,35,7.61,-2.76,2660,2297,1405,826,2009,.411,207,696,.297,438,621,.705,380,1223,426,187,97,503,564,979,2135,.459,247,683,.362,453,619,.732,389,1245,520,261,192,367,568
Iowa,33,14.08,8.69,2642,2464,1335,939,1982,.474,234,640,.366,352,472,.746,305,1145,478,189,115,424,598,941,2077,.453,265,779,.340,495,671,.738,398,1207,541,216,112,325,488
Iowa State,33,15.36,10.39,2231,2067,1330,671,1598,.420,252,747,.337,473,652,.725,264,1005,388,224,97,546,561,834,1882,.443,211,637,.331,352,525,.670,380,1111,457,290,96,427,633
IUPUI,32,-19.00,-5.57,2089,2456,1285,860,1833,.469,256,714,.359,480,632,.759,337,1055,469,267,102,372,532,786,1718,.458,146,492,.297,371,537,.691,297,1011,358,185,81,506,570
